primary_id	species
cichl187580107	Astatotilapia_calliptera
cichl187580108	Astatotilapia_calliptera
cichl187580109	Astatotilapia_calliptera
cichl187580110	Astatotilapia_calliptera
cichl187580111	Astatotilapia_calliptera
cichl187580112	Astatotilapia_calliptera
cichl187580113	Astatotilapia_calliptera
cichl187580114	Astatotilapia_calliptera
cichl187580115	Astatotilapia_calliptera
cichl187580116	Astatotilapia_calliptera
cichl187580117	Astatotilapia_calliptera
cichl187580118	Astatotilapia_calliptera
cichl187580119	Astatotilapia_calliptera
cichl187580120	Astatotilapia_calliptera
cichl187580121	Astatotilapia_calliptera
cichl187580122	Astatotilapia_calliptera
cichl187580123	Astatotilapia_calliptera
cichl187580124	Astatotilapia_calliptera
cichl187580125	Astatotilapia_calliptera
cichl187580126	Astatotilapia_calliptera
cichl187580127	Astatotilapia_calliptera
cichl187580128	Astatotilapia_calliptera
cichl187580129	Astatotilapia_calliptera
cichl187580130	Astatotilapia_calliptera
cichl187580131	Astatotilapia_calliptera
cichl187580132	Astatotilapia_calliptera
cichl187580133	Astatotilapia_calliptera
cichl187580134	Astatotilapia_calliptera
cichl187580135	Astatotilapia_calliptera
cichl187580136	Astatotilapia_calliptera
cichl187580137	Astatotilapia_calliptera
cichl187580138	Astatotilapia_calliptera
cichl187580139	Astatotilapia_calliptera
cichl187580140	Astatotilapia_calliptera
cichl187580141	Astatotilapia_calliptera
cichl187580142	Astatotilapia_calliptera
cichl187580143	Astatotilapia_calliptera
cichl187580144	Astatotilapia_calliptera
cichl187580148	Astatotilapia_calliptera
cichl187580145	Astatotilapia_calliptera
cichl187580146	Astatotilapia_calliptera
cichl187580147	Astatotilapia_calliptera
cichl187580149	Astatotilapia_calliptera
cichl187580150	Astatotilapia_calliptera
cichl187580151	Astatotilapia_calliptera
cichl187580152	Astatotilapia_calliptera
cichl187580153	Astatotilapia_calliptera
cichl187580154	Astatotilapia_calliptera
cichl187580155	Astatotilapia_calliptera
cichl187580156	Astatotilapia_calliptera
cichl187580157	Astatotilapia_calliptera
cichl187580158	Astatotilapia_calliptera
cichl187580159	Astatotilapia_calliptera
cichl187580161	Astatotilapia_calliptera
cichl187580160	Astatotilapia_calliptera
cichl187580162	Astatotilapia_calliptera
cichl187580163	Astatotilapia_calliptera
cichl187580164	Astatotilapia_calliptera
cichl187580165	Astatotilapia_calliptera
cichl187580166	Astatotilapia_calliptera
cichl187580167	Astatotilapia_calliptera
cichl187580168	Astatotilapia_calliptera
cichl187580169	Astatotilapia_calliptera
cichl187580170	Astatotilapia_calliptera
cichl187580171	Astatotilapia_calliptera
cichl187580172	Astatotilapia_calliptera
cichl187580173	Astatotilapia_calliptera
cichl187580174	Astatotilapia_calliptera
cichl187580175	Astatotilapia_calliptera
cichl187580176	Astatotilapia_calliptera
cichl187580177	Astatotilapia_calliptera
cichl187580178	Astatotilapia_calliptera
cichl187580179	Astatotilapia_calliptera
cichl187580180	Astatotilapia_calliptera
cichl187580181	Astatotilapia_calliptera
cichl187580182	Astatotilapia_calliptera
cichl187580183	Astatotilapia_calliptera
cichl187580184	Astatotilapia_calliptera
cichl187580185	Astatotilapia_calliptera
cichl187580186	Astatotilapia_calliptera
cichl187580187	Astatotilapia_calliptera
cichl187580188	Astatotilapia_calliptera
cichl187580189	Astatotilapia_calliptera
cichl187580190	Astatotilapia_calliptera
cichl187580191	Astatotilapia_calliptera
cichl187580192	Astatotilapia_calliptera
cichl187580193	Astatotilapia_calliptera
cichl187580194	Astatotilapia_calliptera
cichl187580195	Astatotilapia_calliptera
cichl187580196	Astatotilapia_calliptera
cichl187580197	Astatotilapia_calliptera
cichl187580198	Astatotilapia_calliptera
cichl187580199	Astatotilapia_calliptera
cichl187580200	Astatotilapia_calliptera
cichl187580201	Astatotilapia_calliptera
cichl187580202	Astatotilapia_calliptera
cichl187580203	Astatotilapia_calliptera
cichl187580204	Astatotilapia_calliptera
cichl187580205	Astatotilapia_calliptera
cichl187580206	Astatotilapia_calliptera
